Date,Suspects,ConfirmedCases,DeathsSivep,DeathsProAim,CtiUsage,Recovered,Location
2020-03-23,4743,477,30,30,67,0,sao paulo
2020-03-24,4572,484,36,36,67,0,sao paulo
2020-03-25,4300,537,41,41,67,0,sao paulo
2020-03-26,4621,565,50,50,67,0,sao paulo
2020-03-27,4621,572,62,62,67,0,sao paulo
2020-03-28,4621,579,74,74,67,0,sao paulo
2020-03-29,4621,586,86,86,67,0,sao paulo
2020-03-30,4311,593,100,100,67,0,sao paulo
2020-03-31,8274,1438,118,118,67,0,sao paulo
2020-04-01,8551,1503,141,141,67,0,sao paulo
2020-04-02,8003,1520,165,165,67,0,sao paulo
2020-04-03,7275,2321,180,180,67,0,sao paulo
2020-04-04,9069,2729,213,213,67,0,sao paulo
2020-04-05,9955,3612,219,219,67,258,sao paulo
2020-04-06,10383,3754,244,244,67,258,sao paulo
2020-04-07,12258,4503,297,297,67,258,sao paulo
2020-04-08,14611,5137,341,341,67,258,sao paulo
2020-04-09,16659,5832,386,386,67,258,sao paulo
2020-04-10,18859,6379,412,412,67,258,sao paulo
2020-04-11,19794,6585,422,422,67,258,sao paulo
2020-04-12,20622,6805,445,445,67,258,sao paulo
2020-04-13,20729,6831,456,456,67,982,sao paulo
2020-04-14,21104,6993,520,520,67,983,sao paulo
2020-04-15,28467,8024,563,563,67,983,sao paulo
2020-04-16,32859,8889,610,610,67,1711,sao paulo
2020-04-17,35410,9357,743,743,67,1986,sao paulo
2020-04-18,39302,10127,807,807,67,2805,sao paulo
2020-04-19,40542,10388,847,847,67,2907,sao paulo
2020-04-20,41215,10624,896,896,67,3607,sao paulo
2020-04-21,44003,10757,919,919,67,4218,sao paulo
2020-04-22,44144,10890,977,977,67,4855,sao paulo
2020-04-23,45518,11025,1006,1050,67,5373,sao paulo
2020-04-24,48130,12202,1035,1124,67,5550,sao paulo
2020-04-25,54663,13279,1118,1153,74,5687,sao paulo
2020-04-26,55402,13979,1133,1210,74,5698,sao paulo
2020-04-27,56584,14104,1183,1272,72,5810,sao paulo
2020-04-28,57931,15213,1330,1337,75,6694,sao paulo
2020-04-29,57800,15925,1456,1418,72,7433,sao paulo
2020-04-30,71855,18438,1533,1514,71,7824,sao paulo
2020-05-01,77897,19679,1627,1665,72,8500,sao paulo
2020-05-02,78161,19897,1681,1713,79,8707,sao paulo
2020-05-03,81543,20464,1693,1744,76,8931,sao paulo
2020-05-04,82579,20848,1709,1775,82,9048,sao paulo
2020-05-05,87871,22249,1826,1832,87,9064,sao paulo
2020-05-06,93312,23807,1945,1928,82,9080,sao paulo
2020-05-07,98448,25043,2013,2006,83,10189,sao paulo
2020-05-08,103246,26273,2135,2106,85,11144,sao paulo
2020-05-09,107441,27414,2242,2187,86,11737,sao paulo
2020-05-10,109207,28027,2285,2268,87,11819,sao paulo
2020-05-11,109356,28089,2302,2305,82,12911,sao paulo
2020-05-12,113408,30457,2428,2430,83,13497,sao paulo
2020-05-13,119825,32372,2512,2542,83,15926,sao paulo
2020-05-14,125215,33841,2617,2602,84,17062,sao paulo
2020-05-15,131008,37106,2695,2681,86,17202,sao paulo
2020-05-16,135348,38479,2813,2766,89,17651,sao paulo
2020-05-17,135381,38605,2853,2832,91,17995,sao paulo
2020-05-18,137386,39163,2884,2845,91,19365,sao paulo
2020-05-19,142455,40750,3047,2940,89,20760,sao paulo
2020-05-20,147991,42417,3149,3087,92,21894,sao paulo
2020-05-21,151965,44516,3252,3186,88,23021,sao paulo
2020-05-22,156729,46215,3371,3255,87,24043,sao paulo
2020-05-23,164428,48528,3506,3316,90,24521,sao paulo
2020-05-24,166603,49306,3550,3351,88,24539,sao paulo
2020-05-25,164677,49596,3573,3390,88,26884,sao paulo
2020-05-26,174022,51852,3715,3421,85,28657,sao paulo
2020-05-27,180720,54948,3844,3619,91,29997,sao paulo
2020-05-28,180562,56775,3987,3719,83,33119,sao paulo
2020-05-29,185082,59869,4151,3823,80,34328,sao paulo
2020-05-30,192785,63629,4273,4152,79,34332,sao paulo
2020-05-31,194413,65038,4308,4212,83,34855,sao paulo
2020-06-01,191006,65716,4347,4241,61,36403,sao paulo
2020-06-02,195171,68998,4472,4305,61,37945,sao paulo
2020-06-03,205401,72171,4605,4480,62,39911,sao paulo
2020-06-04,201706,73213,4722,4568,62,41493,sao paulo
2020-06-05,214213,77768,4843,4688,63,43685,sao paulo
2020-06-06,217754,79880,4939,4770,63,44367,sao paulo
2020-06-07,219360,81109,4963,4813,65,44633,sao paulo
2020-06-08,221004,82179,4985,4838,64,46867,sao paulo
2020-06-09,222007,84862,5118,4945,66,49830,sao paulo
2020-06-10,224837,86383,5277,5123,64,51498,sao paulo
2020-06-11,228808,89149,5406,5206,63,54463,sao paulo
2020-06-12,232021,92170,5523,5252,60,58106,sao paulo
2020-06-13,234689,94842,5643,5366,60,59395,sao paulo
2020-06-14,233244,97245,5675,5428,58,60041,sao paulo
2020-06-15,228568,100627,5703,5474,59,63295,sao paulo
2020-06-16,232472,105658,5866,5772,56,66305,sao paulo
2020-06-17,235037,109192,5997,5942,57,67216,sao paulo
2020-06-18,237602,112050,6147,6147,56,71621,sao paulo
2020-06-19,240167,114908,6269,6215,55,73611,sao paulo
2020-06-20,244172,117768,6405,6318,57,74704,sao paulo
2020-06-21,246892,122910,6422,6383,58,75757,sao paulo
2020-06-22,246892,128052,6522,6495,55,78340,sao paulo
2020-06-23,246850,133194,6622,6607,53,79761,sao paulo
2020-06-24,257900,138339,6714,6722,54,82435,sao paulo
2020-06-25,256544,142750,6834,6792,55,85336,sao paulo
2020-06-26,258841,147116,6913,6866,54,87929,sao paulo
2020-06-27,258675,147536,7016,6920,54,90229,sao paulo
2020-06-28,263365,150757,7037,6945,49,93590,sao paulo
2020-06-29,263250,150910,7069,6982,56,98589,sao paulo
2020-06-30,263075,151414,7199,7123,54,101993,sao paulo
2020-07-01,269194,160337,7311,7327,53,104739,sao paulo
2020-07-02,272384,163186,7409,7418,53,107499,sao paulo
2020-07-03,277156,165566,7522,7485,50,110246,sao paulo
2020-07-04,281201,168388,7639,7528,51,115271,sao paulo
2020-07-05,281088,170342,7663,7574,52,120389,sao paulo
2020-07-06,282972,171169,7676,7608,52,125518,sao paulo
2020-07-07,288903,173580,7787,7739,51,130552,sao paulo
2020-07-08,295987,176303,7922,7889,49,134828,sao paulo
2020-07-09,300194,178118,8042,7987,52,139074,sao paulo
2020-07-10,299993,179829,8143,8072,53,139393,sao paulo
2020-07-11,300021,181540,8231,8146,54,142526,sao paulo
2020-07-12,300123,183251,8280,8188,54,142630,sao paulo
2020-07-13,300173,184962,8289,8218,54,143125,sao paulo
2020-07-14,300101,186673,8394,8443,54,151943,sao paulo
2020-07-15,299973,188384,8510,8574,53,154676,sao paulo
2020-07-16,299649,190095,8641,8708,60,156925,sao paulo
2020-07-17,299602,191806,8755,8759,55,159633,sao paulo
2020-07-18,299499,193517,8824,8759,54,161518,sao paulo
2020-07-19,299540,195228,8834,8759,57,162335,sao paulo
2020-07-20,299545,196939,8876,8876,56,164704,sao paulo
2020-07-21,299512,198650,8980,8980,55,167323,sao paulo
2020-07-22,320188,200370,9099,9099,56,169019,sao paulo
2020-07-23,325593,202571,9168,9168,58,170661,sao paulo
2020-07-24,329173,203308,9241,9241,53,172299,sao paulo
2020-07-25,333078,207744,9278,9278,54,173973,sao paulo
2020-07-26,333167,207838,9296,9296,54,175666,sao paulo
2020-07-27,333256,207933,9315,9315,56,177358,sao paulo
2020-07-28,334977,213436,9390,9390,54,178994,sao paulo
2020-07-29,340112,220294,9476,9476,54,180619,sao paulo
2020-07-30,338543,223571,9547,9547,55,182259,sao paulo
2020-07-31,339089,225587,9649,9649,56,183868,sao paulo
2020-08-01,339934,230315,9705,9705,52,185523,sao paulo
2020-08-02,339980,230375,9725,9725,55,187214,sao paulo
2020-08-03,340020,230412,9731,9731,54,188919,sao paulo
2020-08-04,343601,233463,9791,9791,53,190579,sao paulo
2020-08-05,352722,236178,9901,9901,51,192670,sao paulo
2020-08-06,356271,242770,10012,10012,48,193296,sao paulo
2020-08-07,358813,244331,10096,10096,48,197648,sao paulo
2020-08-08,362496,246650,10172,10172,47,197666,sao paulo
2020-08-09,362518,246730,10187,10187,48,197746,sao paulo
2020-08-10,362572,246787,10202,10202,50,203234,sao paulo
2020-08-11,366825,249750,10330,10330,47,209964,sao paulo
2020-08-12,365125,258481,10422,10422,45,213149,sao paulo
2020-08-13,354278,267239,10488,10488,44,215099,sao paulo
2020-08-14,356583,269834,10548,10548,45,219767,sao paulo
2020-08-15,362342,271432,10567,10567,44,219808,sao paulo
2020-08-16,364978,272070,10586,10586,46,219826,sao paulo
2020-08-17,366056,272433,10602,10602,44,222861,sao paulo
2020-08-18,331739,273247,10683,10683,44,225495,sao paulo
2020-08-19,332544,275534,10736,10736,44,232034,sao paulo
2020-08-20,335330,277450,10837,10837,43,233494,sao paulo
2020-08-21,336904,278570,10923,10923,43,235727,sao paulo
2020-08-22,332589,282761,10979,10979,44,235751,sao paulo
2020-08-23,375194,285082,11007,11007,42,235780,sao paulo
2020-08-24,331784,286030,11008,11008,44,238742,sao paulo
2020-08-25,333192,286979,11115,11115,42,247366,sao paulo
2020-08-26,336367,289064,11192,11192,41,256047,sao paulo
2020-08-27,336796,291753,11253,11253,48,258581,sao paulo
2020-08-28,339930,293754,11317,11317,39,260115,sao paulo
2020-08-29,342960,294980,11372,11372,37,260698,sao paulo
2020-08-30,345380,295250,11373,11373,43,261060,sao paulo
2020-08-31,346526,295435,11382,11382,41,261865,sao paulo
2020-09-01,346724,298698,11448,11448,40,264086,sao paulo
2020-09-02,350239,300843,11525,11525,40,265925,sao paulo
2020-09-03,352863,303234,11583,11583,40,266987,sao paulo
2020-09-04,356603,304754,11652,11652,41,271109,sao paulo
2020-09-05,359308,306042,11692,11692,43,273390,sao paulo
2020-09-06,361680,306361,11701,11701,42,274329,sao paulo
2020-09-07,362644,306529,11705,11705,44,275274,sao paulo
2020-09-08,364261,307009,11711,11711,42,277353,sao paulo
2020-09-09,367985,308840,11830,11830,42,279923,sao paulo
2020-09-10,370687,310489,11920,11920,39,281834,sao paulo
2020-09-11,373125,312089,11981,11981,38,282999,sao paulo
2020-09-12,375734,313551,12027,12027,38,283223,sao paulo
2020-09-13,377262,313858,12039,12039,38,283396,sao paulo
2020-09-14,379520,314867,12075,12075,38,286623,sao paulo
2020-09-15,381779,315876,12111,12111,38,288732,sao paulo
2020-09-16,383940,317403,12190,12190,39,291044,sao paulo
2020-09-17,386233,318968,12237,12237,36,292517,sao paulo
2020-09-18,387122,320677,12300,12300,38,293742,sao paulo
2020-09-19,387142,320931,12360,12360,34,294001,sao paulo
2020-09-20,387275,320961,12366,12366,36,294163,sao paulo
2020-09-21,387344,321013,12368,12368,36,294641,sao paulo
2020-09-22,387492,321361,12414,12414,37,296426,sao paulo
2020-09-23,387648,321633,12463,12463,35,298026,sao paulo
2020-09-24,387684,321851,12506,12506,35,299583,sao paulo
2020-09-25,401036,328277,12540,12540,34,301011,sao paulo
2020-09-26,403178,329433,12588,12588,35,301270,sao paulo
2020-09-27,404992,329704,12596,12596,36,302271,sao paulo
2020-09-28,406097,330103,12602,12602,38,303274,sao paulo
2020-09-29,408790,331522,12660,12660,34,304743,sao paulo
2020-09-30,411189,332950,12725,12725,35,306243,sao paulo
2020-10-01,413546,334177,12791,12791,35,307886,sao paulo
2020-10-02,415786,335330,12832,12832,35,308099,sao paulo
2020-10-03,417865,336770,12880,12880,35,308099,sao paulo
2020-10-04,419274,337073,12891,12891,37,308122,sao paulo
2020-10-05,420091,337206,12903,12903,41,308458,sao paulo
2020-10-06,423422,338580,12951,12951,37,308682,sao paulo
2020-10-07,425843,339777,12994,12994,36,308857,sao paulo
2020-10-08,428867,340742,13044,13044,36,315233,sao paulo
2020-10-09,431802,342345,13096,13096,35,316337,sao paulo
2020-10-10,433169,343574,13114,13114,31,316590,sao paulo
2020-10-11,434866,343892,13118,13118,36,316985,sao paulo
2020-10-12,435772,344037,13123,13123,35,318399,sao paulo
2020-10-13,437297,344248,13131,13131,32,319819,sao paulo
2020-10-14,441785,345495,13186,13186,34,320991,sao paulo
2020-10-15,446466,347018,13217,13217,24,322113,sao paulo
2020-10-16,449560,348378,13258,13258,30,323512,sao paulo
2020-10-17,451949,348579,13276,13276,28,323797,sao paulo
2020-10-18,451797,349690,13283,13283,24,323923,sao paulo
2020-10-19,453512,350711,13286,13286,28,325294,sao paulo
2020-10-20,459032,351877,13331,13331,30,326446,sao paulo
2020-10-21,462961,352953,13358,13358,31,327384,sao paulo
2020-10-22,467193,353952,13373,13373,31,328972,sao paulo
2020-10-23,469839,355736,13399,13399,31,330175,sao paulo
2020-10-24,473391,357176,13425,13425,31,330467,sao paulo
2020-10-25,474983,357586,13426,13426,34,330611,sao paulo
2020-10-26,476160,357749,13427,13427,35,330821,sao paulo
2020-10-27,480500,359516,13444,13444,35,332051,sao paulo
2020-10-28,483975,361066,13491,13491,35,333527,sao paulo
2020-10-29,486557,362465,13527,13527,34,334851,sao paulo
2020-10-30,490156,363863,13575,13575,34,335004,sao paulo
2020-10-31,492562,364651,13585,13585,34,336105,sao paulo
2020-11-01,492589,364674,13590,13590,35,337121,sao paulo
2020-11-02,494829,365064,13593,13593,34,338284,sao paulo
2020-11-03,496774,365361,13594,13594,33,339359,sao paulo
2020-11-04,501195,366480,13650,13650,34,340302,sao paulo
2020-11-05,504949,367601,13706,13706,34,342030,sao paulo
2020-11-06,504949,368891,13715,13715,33,343461,sao paulo
2020-11-07,504949,370181,13724,13724,35,343862,sao paulo
2020-11-08,504949,371471,13733,13733,37,344016,sao paulo
2020-11-09,504949,372761,13742,13742,36,345774,sao paulo
2020-11-10,518933,374054,13754,13754,34,347312,sao paulo
2020-11-11,522557,376281,13765,13765,31,348700,sao paulo
2020-11-12,526873,378160,13828,13828,35,350035,sao paulo
2020-11-13,526873,378160,13828,13828,35,350823,sao paulo
2020-11-14,534834,382188,13936,13936,36,350823,sao paulo
2020-11-15,537190,382581,13941,13941,37,351123,sao paulo
2020-11-16,538724,382801,13947,13947,39,351414,sao paulo
2020-11-17,544032,385216,14008,14008,43,352472,sao paulo
2020-11-18,548979,387228,14066,14066,48,353535,sao paulo
2020-11-19,553729,389709,14104,14104,47,354787,sao paulo
2020-11-20,558202,392283,14140,14140,48,356041,sao paulo
2020-11-21,562187,394067,14168,14168,48,357303,sao paulo
2020-11-22,565645,394776,14174,14174,48,358587,sao paulo
2020-11-23,566623,394901,14179,14179,49,359875,sao paulo
2020-11-24,573224,396714,14213,14213,45,362068,sao paulo
2020-11-25,579106,399382,14260,14260,46,363900,sao paulo
2020-11-26,585103,400716,14304,14304,48,363900,sao paulo
2020-11-27,586594,401768,14341,14341,47,367847,sao paulo
2020-11-28,594420,406362,14387,14387,47,368194,sao paulo
2020-11-29,596702,406903,14394,14394,46,368407,sao paulo
2020-11-30,597894,407127,14401,14401,50,370815,sao paulo
2020-12-01,603922,409833,14471,14471,52,372757,sao paulo
2020-12-02,605339,415882,14517,14517,53,375192,sao paulo
2020-12-03,609237,418202,14601,14601,55,377682,sao paulo
2020-12-04,614322,420603,14632,14632,55,379435,sao paulo
2020-12-05,617732,423021,14687,14687,55,380089,sao paulo
2020-12-06,619243,423775,14697,14697,55,380204,sao paulo
2020-12-07,620318,424000,14699,14699,54,382015,sao paulo
2020-12-08,625984,426439,14755,14755,55,384627,sao paulo
2020-12-09,630742,429234,14798,14798,57,385918,sao paulo
2020-12-10,635430,443695,14857,14857,55,386911,sao paulo
2020-12-11,639343,446339,14899,14899,57,391463,sao paulo
2020-12-12,642665,448435,14932,14932,58,391971,sao paulo
2020-12-13,644339,448689,14955,14955,59,392172,sao paulo
2020-12-14,646327,449155,14972,14972,60,394861,sao paulo
2020-12-15,649562,450268,15043,15043,59,400839,sao paulo
2020-12-16,654899,453749,15102,15102,59,403100,sao paulo
2020-12-17,659223,456572,15155,15155,58,405448,sao paulo
2020-12-18,662994,459246,15203,15203,58,407818,sao paulo
2020-12-19,665573,461666,15244,15244,56,408531,sao paulo
2020-12-20,668172,462484,15252,15252,60,408748,sao paulo
2020-12-21,670157,462927,15260,15260,59,411179,sao paulo
2020-12-22,674615,465964,15315,15315,60,413919,sao paulo
2020-12-23,677284,468989,15367,15367,61,428328,sao paulo
2020-12-24,677284,468989,15367,15367,61,430972,sao paulo
2020-12-25,677284,468989,15367,15367,58,433068,sao paulo
2020-12-26,682805,473531,15437,15437,58,433252,sao paulo
2020-12-27,686391,474320,15443,15443,56,433712,sao paulo
2020-12-28,688629,474946,15458,15458,61,434810,sao paulo
2020-12-29,693955,478830,15520,15520,60,438229,sao paulo
2020-12-30,698771,482522,15587,15587,61,440985,sao paulo
2020-12-31,698771,482522,15587,15587,57,443659,sao paulo
2021-01-01,698771,482522,15587,15587,60,446079,sao paulo
2021-01-02,708057,487236,15695,15695,60,446789,sao paulo
2021-01-03,712146,488227,15705,15705,59,447222,sao paulo
2021-01-04,714037,488654,15724,15724,59,450240,sao paulo
2021-01-05,720379,492078,15812,15812,60,453177,sao paulo
2021-01-06,724200,495761,15862,15862,59,453177,sao paulo
2021-01-07,725730,499276,15952,15952,63,453177,sao paulo
2021-01-08,741113,503929,16032,16032,61,457499,sao paulo
2021-01-09,747908,507160,16090,16090,60,458230,sao paulo
2021-01-10,752218,508246,16111,16111,60,458835,sao paulo
2021-01-11,754850,509025,16121,16121,65,462709,sao paulo
2021-01-12,755471,511505,16135,16135,60,466387,sao paulo
2021-01-13,762568,515779,16266,16266,65,466387,sao paulo
2021-01-14,767548,519376,16364,16364,60,466387,sao paulo
2021-01-15,770592,523367,16461,16461,62,470775,sao paulo
2021-01-16,775332,526897,16472,16472,59,471755,sao paulo
2021-01-17,778588,528056,16552,16552,63,472102,sao paulo
2021-01-18,780272,528809,16566,16566,61,475512,sao paulo
2021-01-19,785924,533219,16664,16664,63,479097,sao paulo
2021-01-20,790426,537113,16744,16744,59,482532,sao paulo
2021-01-21,792610,540618,16823,16823,63,487106,sao paulo
2021-01-22,796308,542760,16882,16882,60,490278,sao paulo
2021-01-23,799041,546523,16945,16945,62,491301,sao paulo
2021-01-24,802353,547658,16960,16960,59,492065,sao paulo
2021-01-25,804076,548236,16970,16970,63,494535,sao paulo
2021-01-26,807883,549786,17007,17007,59,498772,sao paulo
2021-01-27,810732,553867,17104,17104,66,502272,sao paulo
2021-01-28,813395,558005,17169,17169,59,506198,sao paulo
2021-01-29,815440,561979,17219,17219,64,509678,sao paulo
2021-01-30,817063,564719,17277,17277,58,510779,sao paulo
2021-01-31,819177,565532,17300,17300,62,511509,sao paulo
2021-02-01,820517,566146,17309,17309,60,515910,sao paulo
2021-02-02,820263,570412,17381,17381,62,519732,sao paulo
2021-02-03,824789,573898,17441,17441,58,523177,sao paulo
2021-02-04,825693,578224,17491,17491,62,525269,sao paulo
2021-02-05,827295,581240,17546,17546,59,528977,sao paulo
2021-02-06,722780,584221,17596,17596,61,530062,sao paulo
2021-02-07,725217,585180,17611,17611,61,530625,sao paulo
2021-02-08,726343,585765,17629,17629,61,532157,sao paulo
2021-02-09,730286,589164,17721,17721,58,536146,sao paulo
2021-02-10,733046,592490,17783,17783,60,540222,sao paulo
2021-02-11,737102,595068,17852,17852,57,544127,sao paulo
2021-02-12,740037,597990,17916,17916,58,546803,sao paulo
2021-02-13,740130,598176,17942,17942,56,547590,sao paulo
2021-02-14,740183,598214,17957,17957,61,548189,sao paulo
2021-02-15,740220,598259,17975,17975,61,552437,sao paulo
2021-02-16,740384,598476,18039,18039,62,555859,sao paulo
2021-02-17,740226,598889,18112,18112,63,560112,sao paulo
2021-02-18,758241,611547,18158,18158,64,563082,sao paulo
2021-02-19,762611,614235,18209,18209,61,566012,sao paulo
2021-02-20,766915,616688,18245,18245,64,566935,sao paulo
2021-02-21,770317,617554,18268,18268,62,567497,sao paulo
2021-02-22,771975,618210,18280,18280,68,570884,sao paulo
2021-02-23,780184,620993,18352,18352,69,574138,sao paulo
2021-02-24,786735,624076,18433,18433,67,576635,sao paulo
2021-02-25,786735,626763,18487,18487,67,579503,sao paulo
2021-02-26,786735,629450,18541,18541,72,579635,sao paulo
2021-02-27,786735,631724,18583,18583,76,579635,sao paulo
2021-02-28,786735,631724,18583,18583,76,579676,sao paulo
2021-03-01,786735,633395,18632,18632,68,579844,sao paulo
2021-03-02,786735,635969,18739,18739,70,580150,sao paulo
2021-03-03,786735,639097,18800,18800,73,592747,sao paulo
2021-03-04,786735,642475,18859,18859,76,595376,sao paulo
2021-03-05,0,645690,18930,18930,72,597758,sao paulo
2021-03-06,0,648524,18994,18994,73,598560,sao paulo
2021-03-07,0,650068,19011,19011,76,599199,sao paulo
2021-03-08,0,651231,19070,19070,81,601923,sao paulo
2021-03-09,0,654519,19160,19160,81,604916,sao paulo
2021-03-10,0,658452,19256,19256,84,607507,sao paulo
2021-03-11,0,661646,19353,19353,82,610097,sao paulo
2021-03-12,0,664082,19421,19421,82,612303,sao paulo
2021-03-13,0,667833,19508,19508,83,612303,sao paulo
2021-03-14,0,669878,19543,19543,84,613852,sao paulo
2021-03-15,0,672367,19585,19585,83,616384,sao paulo
2021-03-16,0,673443,19741,19741,85,619356,sao paulo
2021-03-17,0,677109,19849,19849,88,622626,sao paulo
2021-03-18,0,680326,20018,20018,88,625672,sao paulo
2021-03-19,0,683458,20188,20188,89,628336,sao paulo
2021-03-20,0,686234,20288,20288,89,629780,sao paulo
2021-03-21,0,686234,20288,20288,90,630943,sao paulo
2021-03-22,0,689714,20362,20362,89,634157,sao paulo
2021-03-23,0,691379,20574,20574,91,637878,sao paulo
2021-03-24,0,694686,20636,20636,91,641010,sao paulo
2021-03-25,0,697818,20813,20813,90,643269,sao paulo
2021-03-26,0,701225,21074,21074,91,646759,sao paulo
2021-03-27,0,713237,21208,21208,88,648670,sao paulo
2021-03-28,0,725249,21343,21343,90,651024,sao paulo
2021-03-29,0,728225,21492,21492,89,651951,sao paulo
2021-03-30,0,733153,21769,21769,89,655340,sao paulo
2021-03-31,0,744477,22068,22068,91,658258,sao paulo
2021-04-01,0,749383,22360,22360,92,661098,sao paulo
2021-04-02,0,752920,22604,22604,92,663630,sao paulo
2021-04-03,0,754430,22659,22659,91,663630,sao paulo
2021-04-04,0,756064,22725,22725,90,666989,sao paulo
2021-04-05,0,757287,22944,22944,90,668435,sao paulo
2021-04-06,0,761597,23164,22659,90,671522,sao paulo
2021-04-07,0,764032,23388,23388,89,674430,sao paulo
2021-04-08,0,766230,23689,23689,89,677536,sao paulo
2021-04-09,0,766938,23913,23913,87,689324,sao paulo
2021-04-10,0,767571,24140,24140,88,701109,sao paulo
2021-04-11,0,767571,24140,24140,88,704085,sao paulo
2021-04-12,0,767782,24216,24216,89,708937,sao paulo
2021-04-13,0,768716,24541,24541,84,719936,sao paulo
2021-04-14,0,771254,24777,24777,87,724606,sao paulo
2021-04-15,0,773395,25076,25076,85,727844,sao paulo
2021-04-16,0,774049,25265,25265,86,729165,sao paulo
2021-04-17,0,778951,25463,25463,85,730601,sao paulo
2021-04-18,0,778951,25463,25463,85,731824,sao paulo
2021-04-19,0,779421,25532,25532,84,736065,sao paulo
2021-04-20,0,779892,25772,25772,84,738260,sao paulo
2021-04-21,0,784768,26037,26037,81,740193,sao paulo
2021-04-22,0,787715,26121,26121,82,740817,sao paulo
2021-04-23,0,792659,26328,26328,81,741243,sao paulo
2021-04-24,0,796828,26430,26430,80,741243,sao paulo
2021-04-25,0,797961,26532,26532,81,741250,sao paulo
2021-04-26,0,799094,26600,26600,81,742116,sao paulo
2021-04-27,0,803849,26844,26844,79,744410,sao paulo
2021-04-28,0,808863,27027,27027,80,746368,sao paulo
2021-04-29,0,840834,27194,27194,80,746855,sao paulo
2021-04-30,0,844334,27329,27329,77,751622,sao paulo
